,portfolio,investment,cash
2020-11-06 09:15:00,233227.12677465996,184994.92963204,48232.19714261995
2020-11-09 09:15:00,234647.18095503,186414.98381241004,48232.19714261995
2020-11-10 09:15:00,234284.15496380997,186051.95782119,48232.19714261995
2020-11-11 09:15:00,235595.85156021995,181154.4045096,54441.44705061995
2020-11-12 09:15:00,236935.59320204004,182494.14615142008,54441.44705061995
2020-11-13 09:15:00,239718.27900025996,238733.63190964,984.6470906199465
2020-11-14 18:00:00,241593.74985630997,185531.2190031,56062.530853209944
2020-11-17 09:15:00,243540.42402046995,187477.89316726002,56062.530853209944
2020-11-18 09:15:00,245089.50804648997,189026.97719328,56062.530853209944
2020-11-19 09:15:00,244586.82477054998,188436.87331130003,56149.95145924995
2020-11-20 09:15:00,246006.91290128996,189856.96144204002,56149.95145924995
2020-11-23 09:15:00,249191.5645110499,193041.61305179994,56149.95145924995
2020-11-24 09:15:00,251421.21068413995,199755.40116954,51665.80951459995
2020-11-25 09:15:00,249980.69619328994,198314.88667869,51665.80951459995
2020-11-26 09:15:00,252359.39214075997,200693.58262616003,51665.80951459995
2020-11-27 09:15:00,255910.66205935998,204716.22585936004,51194.436199999946
2020-12-01 09:15:00,258901.1462971299,207706.71009712995,51194.436199999946
2020-12-02 09:15:00,260815.70907210998,209621.27287211004,51194.436199999946
2020-12-03 09:15:00,262367.9459284499,211857.77711837,50510.168810079944
2020-12-04 09:15:00,261643.88984323997,260515.22098316002,1128.6688600799462
2020-12-07 09:15:00,263460.21018152,262331.54132144,1128.6688600799462
2020-12-08 09:15:00,263356.2658888699,211435.03846484993,51921.22742401995
2020-12-09 09:15:00,265848.0109869599,213926.78356294,51921.22742401995
2020-12-10 09:15:00,264835.96161758003,212914.73419356006,51921.22742401995
2020-12-11 09:15:00,266124.02556329995,214083.18228524,52040.84327805995
2020-12-14 09:15:00,268491.3769005899,216450.53362252997,52040.84327805995
2020-12-15 09:15:00,268531.03771068,216490.19443262002,52040.84327805995
2020-12-16 09:15:00,271135.97676520003,218467.26150159005,52668.71526360995
2020-12-17 09:15:00,271165.39266213984,218496.67739852992,52668.71526360995
2020-12-18 09:15:00,270704.70673256,218035.99146895006,52668.71526360995
2020-12-21 09:15:00,259340.53104098994,206357.05222689,52983.47881409995
2020-12-22 09:15:00,260762.18350164988,207778.70468754994,52983.47881409995
2020-12-23 09:15:00,266023.71948215994,213040.24066805997,52983.47881409995
2020-12-24 09:15:00,268952.08061070996,268810.35179661,141.7288140999517
2020-12-28 09:15:00,273684.47764805,273542.74883395,141.7288140999517
2020-12-29 09:15:00,275591.2586505299,275449.5298364299,141.7288140999517
2020-12-30 09:15:00,276044.29036739003,219660.23365604007,56384.05671134995
2020-12-31 09:15:00,276163.0554042699,219778.99869291997,56384.05671134995
2021-01-01 09:15:00,278254.09878081986,221870.04206946993,56384.05671134995
2021-01-04 09:15:00,282766.8724904599,223745.6716647499,59021.20082570995
2021-01-05 09:15:00,284739.35957473,225718.15874902002,59021.20082570995
2021-01-06 09:15:00,284572.50424358994,225551.30341788,59021.20082570995
2021-01-07 09:15:00,287273.6309556799,222520.16850432995,64753.46245134995
2021-01-08 09:15:00,290545.04348662996,225791.58103528002,64753.46245134995
2021-01-11 09:15:00,291521.20524935995,226767.74279801,64753.46245134995
2021-01-12 09:15:00,291826.26814651,227651.34488857002,64174.923257939954
2021-01-13 09:15:00,290761.10909657995,226586.18583863997,64174.923257939954
2021-01-14 09:15:00,291555.0025160299,291522.12930808996,32.87320793994877
2021-01-15 09:15:00,288136.99988079985,225006.1966908099,63130.80318998995
2021-01-18 09:15:00,283756.79701941996,220625.99382943,63130.80318998995
2021-01-19 09:15:00,287998.2596109899,224867.45642099995,63130.80318998995
2021-01-20 09:15:00,288610.46123377,222328.66449698003,66281.79673678995
2021-01-21 09:15:00,287254.45915132994,220972.66241454,66281.79673678995
2021-01-22 09:15:00,284796.6962812399,218514.89954444996,66281.79673678995
2021-01-25 09:15:00,281991.42477088986,218828.54493842993,63162.879832459956
2021-01-27 09:15:00,280929.7065789099,217766.82674644992,63162.879832459956
2021-01-28 09:15:00,281122.8110121399,217959.93117967996,63162.879832459956
2021-01-29 09:15:00,279756.54039637,224368.02438485002,55388.516011519954
2021-02-01 09:15:00,284721.35046592,229332.83445440003,55388.516011519954
2021-02-02 09:15:00,287874.0261727399,232485.51016121995,55388.516011519954
2021-02-03 09:15:00,290019.05572815996,228919.28709799002,61099.76863016996
2021-02-04 09:15:00,293568.99924073,292301.03065056005,1267.9685901699559
2021-02-05 09:15:00,292390.71152238,291122.74293221004,1267.9685901699559
2021-02-08 09:15:00,296391.32839855994,235990.80873019996,60400.51966835996
2021-02-09 09:15:00,294943.73496838,234543.21530002006,60400.51966835996
2021-02-10 09:15:00,295748.71699851,235348.19733015003,60400.51966835996
2021-02-11 09:15:00,296670.46253297996,234908.86124062003,61761.601292359956
2021-02-12 09:15:00,296438.58420124,234676.98290888005,61761.601292359956
2021-02-15 09:15:00,296915.33495340997,235153.73366105004,61761.601292359956
2021-02-16 09:15:00,297629.64582286996,235141.39865136,62488.24717150995
2021-02-17 09:15:00,299295.6750612799,236807.42788976993,62488.24717150995
2021-02-18 09:15:00,302773.6110940199,240285.36392250995,62488.24717150995
2021-02-19 09:15:00,301098.39612975996,243358.18584353002,57740.21028622995
2021-02-22 09:15:00,298484.80059071,240744.59030448005,57740.21028622995
2021-02-23 09:15:00,301694.1781589899,243953.96787275994,57740.21028622995
2021-02-24 09:15:00,303573.10950624995,302184.49930002,1388.610206229947
2021-02-25 09:15:00,309760.90844216,308372.29823593004,1388.610206229947
2021-02-26 09:15:00,305214.9842925,303826.37408627005,1388.610206229947
2021-03-01 09:15:00,310815.2580470699,252250.08066798997,58565.17737907995
2021-03-02 09:15:00,313791.98280764,255226.80542856004,58565.17737907995
2021-03-03 09:15:00,317507.5904531799,258942.41307409998,58565.17737907995
2021-03-04 09:15:00,319661.63511897984,262250.9161954799,57410.718923499946
2021-03-05 09:15:00,316329.9604455199,258919.24152201996,57410.718923499946
2021-03-08 09:15:00,317569.70933161984,260158.9904081199,57410.718923499946
2021-03-09 09:15:00,315139.16614637,254435.45124842005,60703.71489794995
2021-03-10 09:15:00,317811.96945174993,257108.2545538,60703.71489794995
2021-03-12 09:15:00,316669.6317962599,255965.91689830998,60703.71489794995
2021-03-15 09:15:00,315209.0749260599,258718.31779131,56490.75713474995
2021-03-16 09:15:00,316488.37834004,259997.62120529002,56490.75713474995
2021-03-17 09:15:00,309519.68955476995,308539.23247002,980.4570847499417
2021-03-18 09:15:00,305674.71797582996,249494.66334864002,56180.05462718994
2021-03-19 09:15:00,306829.2480748199,250649.19344762995,56180.05462718994
2021-03-22 09:15:00,308828.44208415993,252648.38745697003,56180.05462718994
2021-03-23 09:15:00,310279.4956908099,257798.28152543996,52481.21416536994
2021-03-24 09:15:00,305811.56567132,253330.35150595006,52481.21416536994
2021-03-25 09:15:00,301106.93504266994,248625.72087730002,52481.21416536994
2021-03-26 09:15:00,304580.1814681199,256767.56764556,47812.613822559935
2021-03-30 09:15:00,307339.8594678799,259527.24564531998,47812.613822559935
2021-03-31 09:15:00,307949.1877160599,260136.5738935,47812.613822559935
2021-04-01 09:15:00,313551.2266277599,264821.58811447,48729.63851328994
2021-04-05 09:15:00,309325.4125476999,260595.77403440993,48729.63851328994
2021-04-06 09:15:00,311576.80991410994,262847.17140082,48729.63851328994
2021-04-07 09:15:00,315687.9094129599,268641.13618624996,47046.773226709935
2021-04-08 09:15:00,317897.20033317996,317231.92710647004,665.2732267099345
2021-04-09 09:15:00,317929.4892916199,317264.21606491,665.2732267099345
2021-04-12 09:15:00,304353.79305726005,253593.6040702901,50760.18898696993
2021-04-13 09:15:00,308686.87704316986,257926.68805619993,50760.18898696993
2021-04-15 09:15:00,308733.38768984994,257973.19870288004,50760.18898696993
2021-04-16 09:15:00,311140.24473994994,264249.56192262,46890.68281732993
2021-04-19 09:15:00,305805.00922623987,258914.32640890995,46890.68281732993
2021-04-20 09:15:00,305785.67175688985,258894.9889395599,46890.68281732993
2021-04-22 09:15:00,306522.2690835699,260585.65507811998,45936.61400544993
2021-04-23 09:15:00,307372.5767722499,261435.96276679996,45936.61400544993
2021-04-26 09:15:00,308716.17569409986,262779.56168864993,45936.61400544993
2021-04-27 09:15:00,313551.55757475,267814.41543687007,45737.14213787993
2021-04-28 09:15:00,316690.3520177298,270953.20987984986,45737.14213787993
2021-04-29 09:15:00,316645.09732232994,270907.95518445,45737.14213787993
2021-04-30 09:15:00,317457.4909893999,316732.24895151996,725.2420378799361
